ActivityID,LeadID,Date,ActivityType,AssignedRepID,created_at,updated_at
29,1936,2022-11-17,meeting,28,2024-11-11 09:19:27,2024-11-11 09:19:27
30,632,2022-12-01,email,43,2024-11-11 09:19:27,2024-11-11 09:19:27
31,936,2023-04-20,meeting,34,2024-11-11 09:19:27,2024-11-11 09:19:27
32,1361,2024-09-26,meeting,50,2024-11-11 09:19:27,2024-11-11 09:19:27
33,2834,2024-04-06,meeting,25,2024-11-11 09:19:27,2024-11-11 09:19:27
34,1555,2023-07-31,meeting,3,2024-11-11 09:19:27,2024-11-11 09:19:27
35,6961,2024-05-03,meeting,13,2024-11-11 09:19:27,2024-11-11 09:19:27
36,4818,2023-03-10,email,8,2024-11-11 09:19:27,2024-11-11 09:19:27
37,968,2023-12-14,call,21,2024-11-11 09:19:27,2024-11-11 09:19:27
38,8103,2023-07-21,call,9,2024-11-11 09:19:27,2024-11-11 09:19:27
39,5191,2023-12-27,email,31,2024-11-11 09:19:27,2024-11-11 09:19:27
40,365,2024-03-18,meeting,26,2024-11-11 09:19:27,2024-11-11 09:19:27
41,7362,2024-09-21,meeting,18,2024-11-11 09:19:27,2024-11-11 09:19:27
42,7250,2024-06-12,email,42,2024-11-11 09:19:27,2024-11-11 09:19:27
43,4931,2022-12-06,email,18,2024-11-11 09:19:27,2024-11-11 09:19:27
44,8182,2023-02-01,email,7,2024-11-11 09:19:27,2024-11-11 09:19:27
45,9863,2024-01-06,meeting,12,2024-11-11 09:19:27,2024-11-11 09:19:27
46,4075,2024-01-28,meeting,20,2024-11-11 09:19:27,2024-11-11 09:19:27
47,7935,2023-10-15,email,4,2024-11-11 09:19:27,2024-11-11 09:19:27
48,2752,2024-01-26,meeting,10,2024-11-11 09:19:27,2024-11-11 09:19:27
49,4419,2024-10-21,call,29,2024-11-11 09:19:27,2024-11-11 09:19:27
50,271,2023-01-04,email,9,2024-11-11 09:19:27,2024-11-11 09:19:27
51,3498,2023-04-13,call,35,2024-11-11 09:19:27,2024-11-11 09:19:27
52,4083,2024-02-06,call,16,2024-11-11 09:19:27,2024-11-11 09:19:27
53,7607,2024-10-08,meeting,15,2024-11-11 09:19:27,2024-11-11 09:19:27
54,7275,2024-10-11,meeting,27,2024-11-11 09:19:27,2024-11-11 09:19:27
55,6656,2024-06-04,email,35,2024-11-11 09:19:27,2024-11-11 09:19:27
56,8852,2023-07-05,call,35,2024-11-11 09:19:27,2024-11-11 09:19:27
57,7770,2024-08-20,email,15,2024-11-11 09:19:27,2024-11-11 09:19:27
58,4766,2023-06-12,email,17,2024-11-11 09:19:27,2024-11-11 09:19:27
59,8046,2023-09-07,meeting,29,2024-11-11 09:19:27,2024-11-11 09:19:27
60,3686,2024-04-02,call,23,2024-11-11 09:19:27,2024-11-11 09:19:27
61,3221,2023-08-22,meeting,14,2024-11-11 09:19:27,2024-11-11 09:19:27
62,2142,2023-07-23,call,7,2024-11-11 09:19:27,2024-11-11 09:19:27
63,1293,2023-09-13,call,25,2024-11-11 09:19:27,2024-11-11 09:19:27
64,6875,2024-05-30,email,11,2024-11-11 09:19:27,2024-11-11 09:19:27
65,3880,2023-02-03,email,17,2024-11-11 09:19:27,2024-11-11 09:19:27
66,7865,2024-05-28,email,46,2024-11-11 09:19:27,2024-11-11 09:19:27
67,9572,2023-12-02,call,7,2024-11-11 09:19:27,2024-11-11 09:19:27
68,6402,2023-06-08,meeting,3,2024-11-11 09:19:27,2024-11-11 09:19:27
69,1554,2023-11-27,meeting,46,2024-11-11 09:19:27,2024-11-11 09:19:27
70,8514,2024-08-22,email,3,2024-11-11 09:19:27,2024-11-11 09:19:27
71,2666,2023-12-06,email,9,2024-11-11 09:19:27,2024-11-11 09:19:27
72,6659,2023-09-08,call,20,2024-11-11 09:19:27,2024-11-11 09:19:27
73,7367,2023-01-28,email,33,2024-11-11 09:19:27,2024-11-11 09:19:27
74,1013,2023-03-05,call,38,2024-11-11 09:19:27,2024-11-11 09:19:27
75,618,2023-11-20,call,21,2024-11-11 09:19:27,2024-11-11 09:19:27
76,9979,2024-07-20,email,30,2024-11-11 09:19:27,2024-11-11 09:19:27
77,9175,2023-04-22,email,48,2024-11-11 09:19:27,2024-11-11 09:19:27
78,1978,2022-12-05,meeting,44,2024-11-11 09:19:27,2024-11-11 09:19:27
79,6048,2024-08-16,meeting,44,2024-11-11 09:19:27,2024-11-11 09:19:27
80,6307,2024-02-26,meeting,33,2024-11-11 09:19:27,2024-11-11 09:19:27
81,3310,2024-06-09,email,3,2024-11-11 09:19:27,2024-11-11 09:19:27
82,7920,2024-10-11,email,33,2024-11-11 09:19:27,2024-11-11 09:19:27
83,9756,2024-03-13,meeting,23,2024-11-11 09:19:27,2024-11-11 09:19:27
84,9839,2024-10-14,email,35,2024-11-11 09:19:27,2024-11-11 09:19:27
85,4689,2024-03-07,meeting,49,2024-11-11 09:19:27,2024-11-11 09:19:27
86,2392,2024-02-28,email,25,2024-11-11 09:19:27,2024-11-11 09:19:27
87,7111,2024-08-29,email,19,2024-11-11 09:19:27,2024-11-11 09:19:27
88,9438,2023-12-20,call,20,2024-11-11 09:19:27,2024-11-11 09:19:27
89,1224,2024-07-26,call,13,2024-11-11 09:19:27,2024-11-11 09:19:27
90,6101,2023-10-18,meeting,42,2024-11-11 09:19:27,2024-11-11 09:19:27
91,5613,2024-04-27,meeting,8,2024-11-11 09:19:27,2024-11-11 09:19:27
92,8846,2023-09-04,meeting,50,2024-11-11 09:19:27,2024-11-11 09:19:27
93,4849,2023-12-25,email,2,2024-11-11 09:19:27,2024-11-11 09:19:27
94,6634,2024-08-10,meeting,29,2024-11-11 09:19:27,2024-11-11 09:19:27
95,4830,2024-07-24,email,36,2024-11-11 09:19:27,2024-11-11 09:19:27
96,9302,2023-04-20,email,50,2024-11-11 09:19:27,2024-11-11 09:19:27
97,2185,2024-08-27,email,27,2024-11-11 09:19:27,2024-11-11 09:19:27
98,6249,2023-03-20,meeting,48,2024-11-11 09:19:27,2024-11-11 09:19:27
99,260,2024-03-04,call,32,2024-11-11 09:19:27,2024-11-11 09:19:27
100,5635,2023-06-22,email,11,2024-11-11 09:19:27,2024-11-11 09:19:27
101,1382,2022-11-10,email,25,2024-11-11 09:19:27,2024-11-11 09:19:27
102,3180,2023-11-29,meeting,28,2024-11-11 09:19:27,2024-11-11 09:19:27
103,9330,2023-09-19,meeting,37,2024-11-11 09:19:27,2024-11-11 09:19:27
104,5359,2024-08-20,email,40,2024-11-11 09:19:27,2024-11-11 09:19:27
105,1918,2024-09-06,email,36,2024-11-11 09:19:27,2024-11-11 09:19:27
106,75,2023-05-08,call,23,2024-11-11 09:19:27,2024-11-11 09:19:27
107,1171,2024-02-22,email,12,2024-11-11 09:19:27,2024-11-11 09:19:27
108,1043,2024-06-21,email,31,2024-11-11 09:19:27,2024-11-11 09:19:27
109,7453,2023-12-01,call,9,2024-11-11 09:19:27,2024-11-11 09:19:27
110,8131,2023-06-20,email,29,2024-11-11 09:19:27,2024-11-11 09:19:27
111,9637,2023-07-05,call,7,2024-11-11 09:19:27,2024-11-11 09:19:27
112,169,2024-10-03,email,31,2024-11-11 09:19:27,2024-11-11 09:19:27
113,5536,2023-02-07,meeting,34,2024-11-11 09:19:27,2024-11-11 09:19:27
114,5868,2023-09-04,call,34,2024-11-11 09:19:27,2024-11-11 09:19:27
115,2150,2022-11-09,call,43,2024-11-11 09:19:27,2024-11-11 09:19:27
116,1078,2024-09-23,email,37,2024-11-11 09:19:27,2024-11-11 09:19:27
117,6989,2023-04-14,email,8,2024-11-11 09:19:27,2024-11-11 09:19:27
118,2088,2023-11-20,meeting,13,2024-11-11 09:19:27,2024-11-11 09:19:27
119,2770,2023-07-20,email,45,2024-11-11 09:19:27,2024-11-11 09:19:27
120,487,2024-05-20,call,25,2024-11-11 09:19:27,2024-11-11 09:19:27
121,4788,2024-03-12,meeting,42,2024-11-11 09:19:27,2024-11-11 09:19:27
122,2558,2023-10-25,email,5,2024-11-11 09:19:27,2024-11-11 09:19:27
123,837,2022-12-18,email,4,2024-11-11 09:19:27,2024-11-11 09:19:27
124,6167,2023-06-15,meeting,22,2024-11-11 09:19:27,2024-11-11 09:19:27
125,2961,2023-01-29,meeting,22,2024-11-11 09:19:27,2024-11-11 09:19:27
126,4162,2024-03-03,call,46,2024-11-11 09:19:27,2024-11-11 09:19:27
127,2973,2024-03-30,email,5,2024-11-11 09:19:27,2024-11-11 09:19:27
128,4680,2024-10-11,meeting,13,2024-11-11 09:19:27,2024-11-11 09:19:27
129,9969,2023-02-11,meeting,45,2024-11-11 09:19:27,2024-11-11 09:19:27
130,7170,2024-10-15,call,6,2024-11-11 09:19:27,2024-11-11 09:19:27
131,2896,2024-06-11,email,22,2024-11-11 09:19:27,2024-11-11 09:19:27
132,6995,2023-02-03,email,24,2024-11-11 09:19:27,2024-11-11 09:19:27
133,7601,2023-07-04,call,22,2024-11-11 09:19:27,2024-11-11 09:19:27
134,603,2022-12-23,call,13,2024-11-11 09:19:27,2024-11-11 09:19:27
135,8503,2023-05-08,email,40,2024-11-11 09:19:27,2024-11-11 09:19:27
136,9693,2023-04-15,email,40,2024-11-11 09:19:27,2024-11-11 09:19:27
137,5384,2023-04-06,call,28,2024-11-11 09:19:27,2024-11-11 09:19:27
138,4452,2023-07-07,email,8,2024-11-11 09:19:27,2024-11-11 09:19:27
139,66,2023-10-04,email,15,2024-11-11 09:19:27,2024-11-11 09:19:27
140,7697,2023-04-03,email,33,2024-11-11 09:19:27,2024-11-11 09:19:27
141,1062,2023-05-05,meeting,36,2024-11-11 09:19:27,2024-11-11 09:19:27
142,3078,2024-02-02,email,27,2024-11-11 09:19:27,2024-11-11 09:19:27
143,4850,2024-04-17,call,22,2024-11-11 09:19:27,2024-11-11 09:19:27
144,9935,2023-02-23,email,31,2024-11-11 09:19:27,2024-11-11 09:19:27
145,1485,2024-03-20,meeting,48,2024-11-11 09:19:27,2024-11-11 09:19:27
146,2434,2023-06-08,meeting,19,2024-11-11 09:19:27,2024-11-11 09:19:27
147,4537,2023-08-04,call,20,2024-11-11 09:19:27,2024-11-11 09:19:27
148,2861,2024-01-07,call,44,2024-11-11 09:19:27,2024-11-11 09:19:27
149,9023,2024-07-29,email,37,2024-11-11 09:19:27,2024-11-11 09:19:27
150,5005,2022-11-15,meeting,41,2024-11-11 09:19:27,2024-11-11 09:19:27
151,9086,2024-04-13,call,1,2024-11-11 09:19:27,2024-11-11 09:19:27
152,1885,2022-12-03,call,7,2024-11-11 09:19:27,2024-11-11 09:19:27
153,2189,2024-04-16,meeting,6,2024-11-11 09:19:27,2024-11-11 09:19:27
154,5346,2024-05-16,email,3,2024-11-11 09:19:27,2024-11-11 09:19:27
155,1501,2024-08-08,email,44,2024-11-11 09:19:27,2024-11-11 09:19:27
156,6318,2023-06-26,call,2,2024-11-11 09:19:27,2024-11-11 09:19:27
157,6140,2024-02-27,email,1,2024-11-11 09:19:27,2024-11-11 09:19:27
158,8522,2022-12-07,call,5,2024-11-11 09:19:27,2024-11-11 09:19:27
159,8380,2024-09-13,email,37,2024-11-11 09:19:27,2024-11-11 09:19:27
160,2696,2023-09-28,call,32,2024-11-11 09:19:27,2024-11-11 09:19:27
161,6528,2023-04-02,call,22,2024-11-11 09:19:27,2024-11-11 09:19:27
162,2728,2024-03-12,email,9,2024-11-11 09:19:27,2024-11-11 09:19:27
163,7977,2024-06-10,call,18,2024-11-11 09:19:27,2024-11-11 09:19:27
164,8444,2024-03-22,call,1,2024-11-11 09:19:27,2024-11-11 09:19:27
165,7543,2023-12-15,email,18,2024-11-11 09:19:27,2024-11-11 09:19:27
166,5053,2024-10-08,meeting,37,2024-11-11 09:19:27,2024-11-11 09:19:27
167,9639,2023-04-03,call,8,2024-11-11 09:19:27,2024-11-11 09:19:27
168,8442,2024-07-24,call,36,2024-11-11 09:19:27,2024-11-11 09:19:27
169,1499,2024-02-12,call,14,2024-11-11 09:19:27,2024-11-11 09:19:27
170,601,2023-02-13,meeting,30,2024-11-11 09:19:27,2024-11-11 09:19:27
171,1867,2024-05-24,email,8,2024-11-11 09:19:27,2024-11-11 09:19:27
172,8525,2023-06-13,meeting,32,2024-11-11 09:19:27,2024-11-11 09:19:27
173,440,2023-01-20,meeting,48,2024-11-11 09:19:27,2024-11-11 09:19:27
174,5002,2024-08-22,meeting,41,2024-11-11 09:19:27,2024-11-11 09:19:27
175,4872,2022-10-23,meeting,8,2024-11-11 09:19:27,2024-11-11 09:19:27
176,5225,2024-08-01,call,49,2024-11-11 09:19:27,2024-11-11 09:19:27
177,1215,2024-10-08,call,12,2024-11-11 09:19:27,2024-11-11 09:19:27
178,4163,2024-01-22,email,6,2024-11-11 09:19:27,2024-11-11 09:19:27
179,4486,2023-04-10,meeting,3,2024-11-11 09:19:27,2024-11-11 09:19:27
180,5097,2024-05-12,call,16,2024-11-11 09:19:27,2024-11-11 09:19:27
181,4477,2024-09-27,meeting,15,2024-11-11 09:19:27,2024-11-11 09:19:27
182,7460,2023-06-12,call,17,2024-11-11 09:19:27,2024-11-11 09:19:27
183,8458,2023-11-07,call,47,2024-11-11 09:19:27,2024-11-11 09:19:27
184,8159,2023-04-27,call,5,2024-11-11 09:19:27,2024-11-11 09:19:27
185,4814,2023-12-03,email,47,2024-11-11 09:19:27,2024-11-11 09:19:27
186,5618,2024-09-05,call,24,2024-11-11 09:19:27,2024-11-11 09:19:27
187,9613,2024-05-02,meeting,35,2024-11-11 09:19:27,2024-11-11 09:19:27
188,5979,2023-02-03,call,24,2024-11-11 09:19:27,2024-11-11 09:19:27
189,670,2024-06-08,email,33,2024-11-11 09:19:27,2024-11-11 09:19:27
190,7314,2023-09-15,call,42,2024-11-11 09:19:27,2024-11-11 09:19:27
191,8316,2023-11-16,meeting,29,2024-11-11 09:19:27,2024-11-11 09:19:27
192,7221,2023-10-13,meeting,49,2024-11-11 09:19:27,2024-11-11 09:19:27
193,624,2023-05-14,email,1,2024-11-11 09:19:27,2024-11-11 09:19:27
194,1817,2023-05-20,meeting,21,2024-11-11 09:19:27,2024-11-11 09:19:27
195,5649,2023-08-29,meeting,40,2024-11-11 09:19:27,2024-11-11 09:19:27
196,4547,2022-10-22,call,37,2024-11-11 09:19:27,2024-11-11 09:19:27
197,3753,2024-04-07,call,33,2024-11-11 09:19:27,2024-11-11 09:19:27
198,4274,2024-06-05,meeting,47,2024-11-11 09:19:27,2024-11-11 09:19:27
199,3412,2024-06-03,meeting,5,2024-11-11 09:19:27,2024-11-11 09:19:27
200,424,2024-03-14,email,36,2024-11-11 09:19:27,2024-11-11 09:19:27
201,8946,2023-02-21,meeting,22,2024-11-11 09:19:27,2024-11-11 09:19:27
202,7770,2023-09-24,email,6,2024-11-11 09:19:27,2024-11-11 09:19:27
203,7346,2024-06-25,call,17,2024-11-11 09:19:27,2024-11-11 09:19:27
204,4864,2023-09-16,email,13,2024-11-11 09:19:27,2024-11-11 09:19:27
205,3406,2023-08-08,email,47,2024-11-11 09:19:27,2024-11-11 09:19:27
206,3500,2022-11-21,meeting,7,2024-11-11 09:19:27,2024-11-11 09:19:27
207,5954,2024-04-28,meeting,12,2024-11-11 09:19:27,2024-11-11 09:19:27
208,5134,2024-04-16,email,41,2024-11-11 09:19:27,2024-11-11 09:19:27
209,4273,2022-11-11,email,43,2024-11-11 09:19:27,2024-11-11 09:19:27
210,7577,2024-05-15,meeting,2,2024-11-11 09:19:27,2024-11-11 09:19:27
211,1999,2022-11-19,meeting,40,2024-11-11 09:19:27,2024-11-11 09:19:27
212,6763,2023-09-29,email,6,2024-11-11 09:19:27,2024-11-11 09:19:27
213,5712,2023-02-19,call,18,2024-11-11 09:19:27,2024-11-11 09:19:27
214,2288,2023-06-29,call,14,2024-11-11 09:19:27,2024-11-11 09:19:27
215,1536,2023-02-08,email,9,2024-11-11 09:19:27,2024-11-11 09:19:27
216,6523,2023-06-01,call,32,2024-11-11 09:19:27,2024-11-11 09:19:27
217,4512,2023-08-11,call,31,2024-11-11 09:19:27,2024-11-11 09:19:27
218,1853,2023-03-28,call,48,2024-11-11 09:19:27,2024-11-11 09:19:27
219,9427,2024-04-04,email,29,2024-11-11 09:19:27,2024-11-11 09:19:27
220,3851,2023-04-17,meeting,34,2024-11-11 09:19:27,2024-11-11 09:19:27
221,8017,2022-11-04,meeting,17,2024-11-11 09:19:27,2024-11-11 09:19:27
222,7256,2023-12-30,call,10,2024-11-11 09:19:27,2024-11-11 09:19:27
223,2254,2024-06-16,email,44,2024-11-11 09:19:27,2024-11-11 09:19:27
224,3799,2023-02-11,email,9,2024-11-11 09:19:27,2024-11-11 09:19:27
225,7623,2023-05-02,call,18,2024-11-11 09:19:27,2024-11-11 09:19:27
226,8406,2024-05-23,call,26,2024-11-11 09:19:27,2024-11-11 09:19:27
227,2903,2024-03-08,email,10,2024-11-11 09:19:27,2024-11-11 09:19:27
228,2163,2024-06-08,email,28,2024-11-11 09:19:27,2024-11-11 09:19:27
229,4028,2024-05-14,call,50,2024-11-11 09:19:27,2024-11-11 09:19:27
230,8920,2024-05-29,call,15,2024-11-11 09:19:27,2024-11-11 09:19:27
231,7042,2024-02-28,email,41,2024-11-11 09:19:27,2024-11-11 09:19:27
232,3131,2024-06-27,call,43,2024-11-11 09:19:27,2024-11-11 09:19:27
233,3085,2023-03-25,email,19,2024-11-11 09:19:27,2024-11-11 09:19:27
234,6431,2024-04-16,meeting,42,2024-11-11 09:19:27,2024-11-11 09:19:27
235,156,2023-07-25,meeting,33,2024-11-11 09:19:27,2024-11-11 09:19:27
236,884,2024-10-16,email,14,2024-11-11 09:19:27,2024-11-11 09:19:27
237,6901,2024-04-03,email,8,2024-11-11 09:19:27,2024-11-11 09:19:27
238,8980,2023-07-18,call,47,2024-11-11 09:19:27,2024-11-11 09:19:27
239,4541,2024-06-19,call,32,2024-11-11 09:19:27,2024-11-11 09:19:27
240,8715,2024-06-28,call,23,2024-11-11 09:19:27,2024-11-11 09:19:27
241,2927,2024-04-12,call,35,2024-11-11 09:19:27,2024-11-11 09:19:27
242,4508,2023-07-30,email,2,2024-11-11 09:19:27,2024-11-11 09:19:27
243,5719,2023-08-15,call,35,2024-11-11 09:19:27,2024-11-11 09:19:27
244,9059,2022-11-05,call,1,2024-11-11 09:19:27,2024-11-11 09:19:27
245,7021,2023-10-31,call,9,2024-11-11 09:19:27,2024-11-11 09:19:27
246,784,2024-02-04,email,46,2024-11-11 09:19:27,2024-11-11 09:19:27
247,189,2023-01-02,meeting,34,2024-11-11 09:19:27,2024-11-11 09:19:27
248,1951,2022-10-22,meeting,16,2024-11-11 09:19:27,2024-11-11 09:19:27
249,9741,2024-04-23,email,14,2024-11-11 09:19:27,2024-11-11 09:19:27
250,3707,2023-08-05,call,44,2024-11-11 09:19:27,2024-11-11 09:19:27
251,3952,2024-03-15,email,23,2024-11-11 09:19:27,2024-11-11 09:19:27
252,8971,2024-05-28,meeting,45,2024-11-11 09:19:27,2024-11-11 09:19:27
253,1082,2023-10-16,email,21,2024-11-11 09:19:27,2024-11-11 09:19:27
254,1494,2024-02-05,meeting,37,2024-11-11 09:19:27,2024-11-11 09:19:27
255,6732,2023-06-13,email,12,2024-11-11 09:19:27,2024-11-11 09:19:27
256,4340,2024-01-19,meeting,2,2024-11-11 09:19:27,2024-11-11 09:19:27
257,120,2023-02-25,meeting,29,2024-11-11 09:19:27,2024-11-11 09:19:27
258,9273,2023-03-04,email,29,2024-11-11 09:19:27,2024-11-11 09:19:27
259,7657,2023-11-24,email,50,2024-11-11 09:19:27,2024-11-11 09:19:27
260,9440,2023-02-19,call,41,2024-11-11 09:19:27,2024-11-11 09:19:27
261,828,2023-04-12,email,3,2024-11-11 09:19:27,2024-11-11 09:19:27
262,1657,2024-03-29,call,14,2024-11-11 09:19:27,2024-11-11 09:19:27
263,641,2024-10-16,email,28,2024-11-11 09:19:27,2024-11-11 09:19:27
264,1516,2023-03-27,email,25,2024-11-11 09:19:27,2024-11-11 09:19:27
265,4373,2024-04-23,call,15,2024-11-11 09:19:27,2024-11-11 09:19:27
266,4361,2024-09-25,meeting,9,2024-11-11 09:19:27,2024-11-11 09:19:27
267,4497,2023-07-06,call,10,2024-11-11 09:19:27,2024-11-11 09:19:27
268,3723,2022-10-30,call,5,2024-11-11 09:19:27,2024-11-11 09:19:27
269,8699,2023-02-01,email,30,2024-11-11 09:19:27,2024-11-11 09:19:27
270,9321,2024-06-20,call,20,2024-11-11 09:19:27,2024-11-11 09:19:27
271,5251,2023-06-08,call,10,2024-11-11 09:19:27,2024-11-11 09:19:27
272,8776,2022-11-02,call,22,2024-11-11 09:19:27,2024-11-11 09:19:27
273,1853,2024-03-11,call,30,2024-11-11 09:19:27,2024-11-11 09:19:27
274,4394,2024-03-28,email,25,2024-11-11 09:19:27,2024-11-11 09:19:27
275,6294,2022-11-21,email,50,2024-11-11 09:19:27,2024-11-11 09:19:27
276,2289,2023-04-30,meeting,30,2024-11-11 09:19:27,2024-11-11 09:19:27
277,1433,2024-03-24,meeting,36,2024-11-11 09:19:27,2024-11-11 09:19:27
278,645,2023-10-13,meeting,9,2024-11-11 09:19:27,2024-11-11 09:19:27
279,420,2023-11-08,meeting,45,2024-11-11 09:19:27,2024-11-11 09:19:27
280,6090,2023-05-31,meeting,34,2024-11-11 09:19:27,2024-11-11 09:19:27
281,6924,2024-03-21,email,26,2024-11-11 09:19:27,2024-11-11 09:19:27
282,9579,2024-01-19,email,34,2024-11-11 09:19:27,2024-11-11 09:19:27
283,3924,2023-06-07,email,24,2024-11-11 09:19:27,2024-11-11 09:19:27
284,7782,2023-11-23,call,24,2024-11-11 09:19:27,2024-11-11 09:19:27
285,7145,2023-12-25,meeting,43,2024-11-11 09:19:27,2024-11-11 09:19:27
286,6512,2023-11-08,meeting,33,2024-11-11 09:19:27,2024-11-11 09:19:27
287,8614,2024-06-26,email,6,2024-11-11 09:19:27,2024-11-11 09:19:27
288,5427,2023-09-12,call,17,2024-11-11 09:19:27,2024-11-11 09:19:27
289,3783,2023-03-30,email,49,2024-11-11 09:19:27,2024-11-11 09:19:27
290,2645,2023-12-03,email,16,2024-11-11 09:19:27,2024-11-11 09:19:27
291,8956,2024-08-16,email,7,2024-11-11 09:19:27,2024-11-11 09:19:27
292,9493,2023-12-13,meeting,6,2024-11-11 09:19:27,2024-11-11 09:19:27
293,3727,2023-01-10,meeting,47,2024-11-11 09:19:27,2024-11-11 09:19:27
294,3242,2022-12-17,call,25,2024-11-11 09:19:27,2024-11-11 09:19:27
295,7011,2023-01-26,email,39,2024-11-11 09:19:27,2024-11-11 09:19:27
296,3768,2023-10-07,call,38,2024-11-11 09:19:27,2024-11-11 09:19:27
297,5339,2023-04-18,email,12,2024-11-11 09:19:27,2024-11-11 09:19:27
298,5007,2023-12-23,meeting,7,2024-11-11 09:19:27,2024-11-11 09:19:27
299,6099,2024-03-15,email,24,2024-11-11 09:19:27,2024-11-11 09:19:27
300,5869,2024-07-29,meeting,7,2024-11-11 09:19:27,2024-11-11 09:19:27
301,2358,2022-11-09,meeting,50,2024-11-11 09:19:27,2024-11-11 09:19:27
302,2791,2023-12-31,meeting,45,2024-11-11 09:19:27,2024-11-11 09:19:27
303,6218,2024-07-06,meeting,24,2024-11-11 09:19:27,2024-11-11 09:19:27
304,9980,2023-07-03,call,18,2024-11-11 09:19:27,2024-11-11 09:19:27
305,7007,2023-04-17,call,33,2024-11-11 09:19:27,2024-11-11 09:19:27
306,8429,2023-03-10,call,37,2024-11-11 09:19:27,2024-11-11 09:19:27
307,3502,2024-08-26,call,49,2024-11-11 09:19:27,2024-11-11 09:19:27
308,7159,2023-11-14,email,11,2024-11-11 09:19:27,2024-11-11 09:19:27
309,3312,2024-02-18,meeting,27,2024-11-11 09:19:27,2024-11-11 09:19:27
310,2926,2023-02-15,email,35,2024-11-11 09:19:27,2024-11-11 09:19:27
311,3362,2024-02-01,meeting,38,2024-11-11 09:19:27,2024-11-11 09:19:27
312,6965,2024-08-27,meeting,13,2024-11-11 09:19:27,2024-11-11 09:19:27
313,3949,2023-01-31,email,33,2024-11-11 09:19:27,2024-11-11 09:19:27
314,9019,2024-02-13,meeting,17,2024-11-11 09:19:27,2024-11-11 09:19:27
315,9995,2022-11-20,meeting,1,2024-11-11 09:19:27,2024-11-11 09:19:27
316,4914,2023-04-18,email,40,2024-11-11 09:19:27,2024-11-11 09:19:27
317,6552,2023-06-08,call,49,2024-11-11 09:19:27,2024-11-11 09:19:27
318,6503,2023-04-01,email,36,2024-11-11 09:19:27,2024-11-11 09:19:27
319,7442,2022-11-12,meeting,27,2024-11-11 09:19:27,2024-11-11 09:19:27
320,4464,2023-01-08,call,4,2024-11-11 09:19:27,2024-11-11 09:19:27
321,1427,2024-04-11,email,35,2024-11-11 09:19:27,2024-11-11 09:19:27
322,9248,2023-11-12,call,20,2024-11-11 09:19:27,2024-11-11 09:19:27
323,2609,2023-03-09,call,44,2024-11-11 09:19:27,2024-11-11 09:19:27
324,2148,2024-01-31,call,48,2024-11-11 09:19:27,2024-11-11 09:19:27
325,3399,2024-08-17,email,1,2024-11-11 09:19:27,2024-11-11 09:19:27
326,9531,2023-12-29,email,33,2024-11-11 09:19:27,2024-11-11 09:19:27
327,9663,2023-04-05,call,12,2024-11-11 09:19:27,2024-11-11 09:19:27
