StageID,OpportunityID,StageName,StageStartDate,StageEndDate,created_at,updated_at
122,5474,negotiation,2022-10-29,2024-02-06,2024-11-11 09:19:27,2024-11-11 09:19:27
123,4541,proposal,2024-08-07,2024-09-13,2024-11-11 09:19:27,2024-11-11 09:19:27
124,6687,negotiation,2023-01-16,2022-12-23,2024-11-11 09:19:27,2024-11-11 09:19:27
125,1925,discovery,2023-01-28,2024-04-11,2024-11-11 09:19:27,2024-11-11 09:19:27
126,1062,proposal,2022-12-12,2024-05-04,2024-11-11 09:19:27,2024-11-11 09:19:27
127,8484,discovery,2024-08-17,2024-04-25,2024-11-11 09:19:27,2024-11-11 09:19:27
128,4834,proposal,2024-02-03,2022-11-15,2024-11-11 09:19:27,2024-11-11 09:19:27
129,8695,discovery,2024-09-16,2024-06-02,2024-11-11 09:19:27,2024-11-11 09:19:27
130,9161,negotiation,2023-08-18,2023-05-20,2024-11-11 09:19:27,2024-11-11 09:19:27
131,2017,proposal,2024-09-27,2023-09-27,2024-11-11 09:19:27,2024-11-11 09:19:27
132,7715,discovery,2024-09-30,2023-12-03,2024-11-11 09:19:27,2024-11-11 09:19:27
133,9932,discovery,2023-08-20,2023-05-10,2024-11-11 09:19:27,2024-11-11 09:19:27
134,5900,discovery,2023-08-05,2024-03-07,2024-11-11 09:19:27,2024-11-11 09:19:27
135,3987,proposal,2024-05-10,2024-02-05,2024-11-11 09:19:27,2024-11-11 09:19:27
136,4627,discovery,2022-11-04,2023-02-11,2024-11-11 09:19:27,2024-11-11 09:19:27
137,7948,proposal,2024-08-28,2023-02-14,2024-11-11 09:19:27,2024-11-11 09:19:27
138,6945,proposal,2023-03-11,2023-08-30,2024-11-11 09:19:27,2024-11-11 09:19:27
139,1749,discovery,2023-10-09,2023-05-31,2024-11-11 09:19:27,2024-11-11 09:19:27
140,4361,proposal,2024-09-13,2024-10-06,2024-11-11 09:19:27,2024-11-11 09:19:27
141,6769,discovery,2023-12-22,2022-12-31,2024-11-11 09:19:27,2024-11-11 09:19:27
142,8854,discovery,2023-06-01,2024-01-25,2024-11-11 09:19:27,2024-11-11 09:19:27
143,3603,negotiation,2023-10-17,2024-06-10,2024-11-11 09:19:27,2024-11-11 09:19:27
144,839,discovery,2023-06-20,2024-07-27,2024-11-11 09:19:27,2024-11-11 09:19:27
145,8722,negotiation,2022-11-13,2024-05-17,2024-11-11 09:19:27,2024-11-11 09:19:27
146,355,discovery,2024-06-14,2023-04-10,2024-11-11 09:19:27,2024-11-11 09:19:27
147,9138,discovery,2023-09-28,2024-04-03,2024-11-11 09:19:27,2024-11-11 09:19:27
148,3197,discovery,2024-01-16,2023-07-12,2024-11-11 09:19:27,2024-11-11 09:19:27
149,5185,negotiation,2022-12-05,2024-04-14,2024-11-11 09:19:27,2024-11-11 09:19:27
150,9448,negotiation,2023-08-02,2023-01-14,2024-11-11 09:19:27,2024-11-11 09:19:27
151,2416,proposal,2023-10-19,2024-08-29,2024-11-11 09:19:27,2024-11-11 09:19:27
152,2176,negotiation,2023-08-14,2024-09-18,2024-11-11 09:19:27,2024-11-11 09:19:27
153,1675,discovery,2023-07-11,2023-11-18,2024-11-11 09:19:27,2024-11-11 09:19:27
154,8629,discovery,2024-03-09,2023-03-23,2024-11-11 09:19:27,2024-11-11 09:19:27
155,1242,proposal,2024-02-08,2023-09-04,2024-11-11 09:19:27,2024-11-11 09:19:27
156,7836,proposal,2023-10-29,2024-06-29,2024-11-11 09:19:27,2024-11-11 09:19:27
157,6588,proposal,2023-06-28,2023-03-18,2024-11-11 09:19:27,2024-11-11 09:19:27
158,883,negotiation,2022-10-30,2023-07-28,2024-11-11 09:19:27,2024-11-11 09:19:27
159,6399,discovery,2024-02-22,2023-07-31,2024-11-11 09:19:27,2024-11-11 09:19:27
160,7301,negotiation,2023-09-26,2024-07-12,2024-11-11 09:19:27,2024-11-11 09:19:27
161,3605,proposal,2024-09-12,2023-02-10,2024-11-11 09:19:27,2024-11-11 09:19:27
162,1001,discovery,2023-10-18,2023-03-02,2024-11-11 09:19:27,2024-11-11 09:19:27
163,2454,proposal,2024-02-24,2024-06-17,2024-11-11 09:19:27,2024-11-11 09:19:27
164,9011,discovery,2023-11-21,2023-08-05,2024-11-11 09:19:27,2024-11-11 09:19:27
165,5160,proposal,2022-11-22,2023-08-28,2024-11-11 09:19:27,2024-11-11 09:19:27
166,2215,proposal,2023-12-14,2024-07-12,2024-11-11 09:19:27,2024-11-11 09:19:27
167,8640,discovery,2023-03-21,2023-03-15,2024-11-11 09:19:27,2024-11-11 09:19:27
168,8843,negotiation,2023-05-20,2022-11-02,2024-11-11 09:19:27,2024-11-11 09:19:27
169,9240,negotiation,2023-10-24,2024-05-09,2024-11-11 09:19:27,2024-11-11 09:19:27
170,6470,discovery,2023-03-11,2023-06-22,2024-11-11 09:19:27,2024-11-11 09:19:27
171,5681,negotiation,2023-07-05,2023-03-02,2024-11-11 09:19:27,2024-11-11 09:19:27
172,3373,negotiation,2023-04-11,2023-12-14,2024-11-11 09:19:27,2024-11-11 09:19:27
173,8138,discovery,2023-09-11,2022-12-01,2024-11-11 09:19:27,2024-11-11 09:19:27
174,9891,negotiation,2023-08-17,2023-11-30,2024-11-11 09:19:27,2024-11-11 09:19:27
175,7129,discovery,2024-01-05,2023-06-19,2024-11-11 09:19:27,2024-11-11 09:19:27
176,1094,proposal,2022-12-15,2023-08-22,2024-11-11 09:19:27,2024-11-11 09:19:27
177,9344,proposal,2024-09-18,2023-04-28,2024-11-11 09:19:27,2024-11-11 09:19:27
178,7087,negotiation,2024-07-03,2023-07-05,2024-11-11 09:19:27,2024-11-11 09:19:27
179,7182,discovery,2023-07-28,2024-07-11,2024-11-11 09:19:27,2024-11-11 09:19:27
180,5448,proposal,2023-03-17,2023-01-03,2024-11-11 09:19:27,2024-11-11 09:19:27
181,662,proposal,2023-08-29,2023-07-04,2024-11-11 09:19:27,2024-11-11 09:19:27
182,6871,negotiation,2023-01-16,2023-01-13,2024-11-11 09:19:27,2024-11-11 09:19:27
183,2870,discovery,2023-03-23,2023-02-09,2024-11-11 09:19:27,2024-11-11 09:19:27
184,8523,negotiation,2024-05-17,2023-01-03,2024-11-11 09:19:27,2024-11-11 09:19:27
185,8653,negotiation,2024-09-15,2023-12-04,2024-11-11 09:19:27,2024-11-11 09:19:27
186,7678,discovery,2023-01-30,2023-09-25,2024-11-11 09:19:27,2024-11-11 09:19:27
187,903,proposal,2023-06-29,2022-11-14,2024-11-11 09:19:27,2024-11-11 09:19:27
188,9002,discovery,2023-11-17,2024-10-16,2024-11-11 09:19:27,2024-11-11 09:19:27
189,6134,negotiation,2024-08-05,2023-08-18,2024-11-11 09:19:27,2024-11-11 09:19:27
190,3348,discovery,2023-06-01,2023-01-12,2024-11-11 09:19:27,2024-11-11 09:19:27
191,6570,discovery,2022-11-29,2023-10-15,2024-11-11 09:19:27,2024-11-11 09:19:27
192,8252,proposal,2023-08-03,2023-12-09,2024-11-11 09:19:27,2024-11-11 09:19:27
193,7228,proposal,2023-12-30,2023-03-30,2024-11-11 09:19:27,2024-11-11 09:19:27
194,5487,discovery,2023-10-28,2023-12-30,2024-11-11 09:19:27,2024-11-11 09:19:27
195,5131,proposal,2023-02-25,2023-09-23,2024-11-11 09:19:27,2024-11-11 09:19:27
196,2887,negotiation,2023-06-28,2023-02-02,2024-11-11 09:19:27,2024-11-11 09:19:27
197,7049,proposal,2024-09-24,2024-09-01,2024-11-11 09:19:27,2024-11-11 09:19:27
198,4980,proposal,2024-09-30,2024-05-15,2024-11-11 09:19:27,2024-11-11 09:19:27
199,9876,negotiation,2024-08-08,2024-03-23,2024-11-11 09:19:27,2024-11-11 09:19:27
200,6963,proposal,2024-05-15,2023-12-24,2024-11-11 09:19:27,2024-11-11 09:19:27
201,3276,proposal,2023-04-08,2024-04-17,2024-11-11 09:19:27,2024-11-11 09:19:27
202,5454,proposal,2024-04-25,2023-09-12,2024-11-11 09:19:27,2024-11-11 09:19:27
203,7836,negotiation,2024-02-21,2023-01-03,2024-11-11 09:19:27,2024-11-11 09:19:27
204,5824,proposal,2023-12-21,2024-05-13,2024-11-11 09:19:27,2024-11-11 09:19:27
205,8748,proposal,2024-09-09,2024-09-05,2024-11-11 09:19:27,2024-11-11 09:19:27
206,940,proposal,2024-08-09,2023-01-23,2024-11-11 09:19:27,2024-11-11 09:19:27
207,8033,proposal,2024-09-17,2023-09-20,2024-11-11 09:19:27,2024-11-11 09:19:27
208,6745,negotiation,2023-03-29,2023-07-15,2024-11-11 09:19:27,2024-11-11 09:19:27
209,2066,negotiation,2024-09-22,2023-03-17,2024-11-11 09:19:27,2024-11-11 09:19:27
210,9464,proposal,2023-10-24,2024-05-05,2024-11-11 09:19:27,2024-11-11 09:19:27
211,7898,negotiation,2023-09-14,2023-10-08,2024-11-11 09:19:27,2024-11-11 09:19:27
212,7697,negotiation,2022-11-01,2023-05-21,2024-11-11 09:19:27,2024-11-11 09:19:27
213,7684,negotiation,2024-06-29,2024-02-25,2024-11-11 09:19:27,2024-11-11 09:19:27
214,8063,proposal,2023-12-15,2023-07-07,2024-11-11 09:19:27,2024-11-11 09:19:27
215,3671,proposal,2024-10-13,2023-05-12,2024-11-11 09:19:27,2024-11-11 09:19:27
216,6855,negotiation,2024-03-25,2024-04-17,2024-11-11 09:19:27,2024-11-11 09:19:27
217,6983,discovery,2024-07-12,2023-07-11,2024-11-11 09:19:27,2024-11-11 09:19:27
218,3751,proposal,2023-10-16,2023-11-23,2024-11-11 09:19:27,2024-11-11 09:19:27
219,6956,discovery,2023-01-21,2023-07-24,2024-11-11 09:19:27,2024-11-11 09:19:27
220,6943,proposal,2023-06-14,2023-02-04,2024-11-11 09:19:27,2024-11-11 09:19:27
221,4910,proposal,2024-06-18,2023-06-26,2024-11-11 09:19:27,2024-11-11 09:19:27
222,1161,proposal,2024-05-02,2023-07-26,2024-11-11 09:19:27,2024-11-11 09:19:27
223,5301,proposal,2023-06-12,2023-05-09,2024-11-11 09:19:27,2024-11-11 09:19:27
224,8746,proposal,2023-04-07,2023-04-28,2024-11-11 09:19:27,2024-11-11 09:19:27
225,4994,discovery,2024-06-20,2023-04-01,2024-11-11 09:19:27,2024-11-11 09:19:27
226,5581,proposal,2023-10-28,2024-05-11,2024-11-11 09:19:27,2024-11-11 09:19:27
227,9964,negotiation,2023-10-04,2024-07-30,2024-11-11 09:19:27,2024-11-11 09:19:27
228,8265,proposal,2023-06-23,2022-12-09,2024-11-11 09:19:27,2024-11-11 09:19:27
229,6245,discovery,2022-11-30,2023-11-07,2024-11-11 09:19:27,2024-11-11 09:19:27
230,4667,negotiation,2023-10-13,2023-01-22,2024-11-11 09:19:27,2024-11-11 09:19:27
231,2776,negotiation,2024-04-10,2023-10-19,2024-11-11 09:19:27,2024-11-11 09:19:27
232,7933,negotiation,2024-05-28,2023-02-01,2024-11-11 09:19:27,2024-11-11 09:19:27
233,5572,negotiation,2023-12-19,2024-05-24,2024-11-11 09:19:27,2024-11-11 09:19:27
234,4313,discovery,2023-06-23,2024-05-31,2024-11-11 09:19:27,2024-11-11 09:19:27
235,620,negotiation,2023-02-01,2024-09-11,2024-11-11 09:19:27,2024-11-11 09:19:27
236,4905,negotiation,2022-12-19,2024-01-29,2024-11-11 09:19:27,2024-11-11 09:19:27
237,1954,negotiation,2024-07-03,2024-07-20,2024-11-11 09:19:27,2024-11-11 09:19:27
238,3454,proposal,2023-05-07,2022-11-19,2024-11-11 09:19:27,2024-11-11 09:19:27
239,4,proposal,2023-03-24,2023-05-18,2024-11-11 09:19:27,2024-11-11 09:19:27
240,4797,negotiation,2024-10-14,2024-03-02,2024-11-11 09:19:27,2024-11-11 09:19:27
241,6384,negotiation,2023-06-17,2023-04-07,2024-11-11 09:19:27,2024-11-11 09:19:27
242,5561,negotiation,2023-05-03,2024-07-04,2024-11-11 09:19:27,2024-11-11 09:19:27
243,6292,discovery,2023-03-03,2024-03-17,2024-11-11 09:19:27,2024-11-11 09:19:27
244,2838,negotiation,2024-02-12,2022-12-10,2024-11-11 09:19:27,2024-11-11 09:19:27
245,7264,negotiation,2023-02-19,2023-09-23,2024-11-11 09:19:27,2024-11-11 09:19:27
246,8253,proposal,2023-12-03,2022-12-02,2024-11-11 09:19:27,2024-11-11 09:19:27
247,9782,negotiation,2024-06-02,2023-02-11,2024-11-11 09:19:27,2024-11-11 09:19:27
248,8802,discovery,2024-02-11,2024-05-29,2024-11-11 09:19:27,2024-11-11 09:19:27
249,1613,discovery,2023-03-24,2023-08-20,2024-11-11 09:19:27,2024-11-11 09:19:27
250,7401,discovery,2024-01-23,2024-08-03,2024-11-11 09:19:27,2024-11-11 09:19:27
251,9591,discovery,2024-03-22,2023-05-08,2024-11-11 09:19:27,2024-11-11 09:19:27
252,588,discovery,2024-07-23,2023-02-28,2024-11-11 09:19:27,2024-11-11 09:19:27
253,8671,proposal,2023-02-08,2024-07-04,2024-11-11 09:19:27,2024-11-11 09:19:27
254,5272,proposal,2023-09-01,2024-08-27,2024-11-11 09:19:27,2024-11-11 09:19:27
255,9230,negotiation,2023-09-26,2022-11-10,2024-11-11 09:19:27,2024-11-11 09:19:27
256,3509,proposal,2024-10-21,2024-06-22,2024-11-11 09:19:27,2024-11-11 09:19:27
257,7750,discovery,2023-02-03,2024-05-24,2024-11-11 09:19:27,2024-11-11 09:19:27
258,4036,negotiation,2024-03-26,2024-02-15,2024-11-11 09:19:27,2024-11-11 09:19:27
259,6829,proposal,2023-06-08,2023-11-05,2024-11-11 09:19:27,2024-11-11 09:19:27
260,7965,discovery,2024-09-27,2023-12-15,2024-11-11 09:19:27,2024-11-11 09:19:27
261,7171,negotiation,2023-01-28,2024-05-24,2024-11-11 09:19:27,2024-11-11 09:19:27
262,1914,negotiation,2024-10-21,2024-07-10,2024-11-11 09:19:27,2024-11-11 09:19:27
263,8632,negotiation,2023-02-24,2023-11-06,2024-11-11 09:19:27,2024-11-11 09:19:27
264,2056,negotiation,2023-08-16,2024-08-12,2024-11-11 09:19:27,2024-11-11 09:19:27
265,2951,discovery,2024-03-13,2023-11-26,2024-11-11 09:19:27,2024-11-11 09:19:27
266,1658,discovery,2024-02-09,2024-03-23,2024-11-11 09:19:27,2024-11-11 09:19:27
267,3170,negotiation,2023-12-21,2024-05-30,2024-11-11 09:19:27,2024-11-11 09:19:27
268,4371,discovery,2022-12-16,2023-03-05,2024-11-11 09:19:27,2024-11-11 09:19:27
269,9985,discovery,2023-03-02,2023-01-26,2024-11-11 09:19:27,2024-11-11 09:19:27
270,4984,proposal,2022-11-02,2023-08-26,2024-11-11 09:19:27,2024-11-11 09:19:27
271,5649,proposal,2024-06-25,2022-11-16,2024-11-11 09:19:27,2024-11-11 09:19:27
272,7854,discovery,2024-09-18,2023-07-17,2024-11-11 09:19:27,2024-11-11 09:19:27
273,5010,proposal,2024-04-19,2024-03-06,2024-11-11 09:19:27,2024-11-11 09:19:27
274,5107,discovery,2023-04-20,2024-05-13,2024-11-11 09:19:27,2024-11-11 09:19:27
275,1873,proposal,2023-07-16,2022-12-07,2024-11-11 09:19:27,2024-11-11 09:19:27
276,7718,proposal,2023-03-21,2022-10-23,2024-11-11 09:19:27,2024-11-11 09:19:27
277,7175,discovery,2023-10-21,2024-08-08,2024-11-11 09:19:27,2024-11-11 09:19:27
278,1675,negotiation,2023-07-23,2024-07-10,2024-11-11 09:19:27,2024-11-11 09:19:27
279,5620,discovery,2023-11-04,2023-08-12,2024-11-11 09:19:27,2024-11-11 09:19:27
280,5479,discovery,2024-05-21,2023-06-21,2024-11-11 09:19:27,2024-11-11 09:19:27
281,199,negotiation,2024-02-04,2023-06-27,2024-11-11 09:19:27,2024-11-11 09:19:27
282,5644,discovery,2024-10-11,2023-06-30,2024-11-11 09:19:27,2024-11-11 09:19:27
