LeadID,CustomerID,LeadSource,CreatedDate,LeadStatus,created_at,updated_at
52,613,website,2022-12-27,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
53,4375,website,2023-11-27,open,2024-11-11 09:19:27,2024-11-11 09:19:27
54,1620,website,2023-09-28,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
55,958,website,2024-06-11,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
56,2867,website,2024-01-22,open,2024-11-11 09:19:27,2024-11-11 09:19:27
57,1388,email campaign,2023-12-28,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
58,2776,website,2023-05-04,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
59,1831,email campaign,2023-10-06,open,2024-11-11 09:19:27,2024-11-11 09:19:27
60,3801,email campaign,2024-01-28,open,2024-11-11 09:19:27,2024-11-11 09:19:27
61,2158,website,2024-03-04,open,2024-11-11 09:19:27,2024-11-11 09:19:27
62,4837,email campaign,2023-03-15,open,2024-11-11 09:19:27,2024-11-11 09:19:27
63,101,email campaign,2024-04-21,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
64,1966,website,2023-11-03,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
65,2977,email campaign,2023-04-07,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
66,1656,website,2023-10-20,open,2024-11-11 09:19:27,2024-11-11 09:19:27
67,4262,website,2024-08-14,open,2024-11-11 09:19:27,2024-11-11 09:19:27
68,4518,website,2024-09-22,open,2024-11-11 09:19:27,2024-11-11 09:19:27
69,3180,website,2023-05-18,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
70,2542,email campaign,2023-06-12,open,2024-11-11 09:19:27,2024-11-11 09:19:27
71,3551,website,2023-06-24,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
72,4199,website,2024-10-05,open,2024-11-11 09:19:27,2024-11-11 09:19:27
73,3770,website,2023-04-03,open,2024-11-11 09:19:27,2024-11-11 09:19:27
74,3106,email campaign,2024-05-26,open,2024-11-11 09:19:27,2024-11-11 09:19:27
75,4030,email campaign,2024-10-13,open,2024-11-11 09:19:27,2024-11-11 09:19:27
76,4058,website,2023-05-10,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
77,933,email campaign,2022-11-08,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
78,1754,email campaign,2023-12-08,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
79,3402,email campaign,2023-05-22,open,2024-11-11 09:19:27,2024-11-11 09:19:27
80,700,website,2024-02-28,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
81,1860,website,2023-12-08,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
82,2439,email campaign,2022-10-28,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
83,2696,email campaign,2024-03-31,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
84,991,email campaign,2022-11-26,open,2024-11-11 09:19:27,2024-11-11 09:19:27
85,699,email campaign,2023-03-10,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
86,4746,email campaign,2024-04-05,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
87,736,email campaign,2024-09-21,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
88,4232,email campaign,2023-11-05,open,2024-11-11 09:19:27,2024-11-11 09:19:27
89,1664,email campaign,2023-02-03,open,2024-11-11 09:19:27,2024-11-11 09:19:27
90,1833,website,2023-02-11,open,2024-11-11 09:19:27,2024-11-11 09:19:27
91,1652,email campaign,2023-05-03,open,2024-11-11 09:19:27,2024-11-11 09:19:27
92,1126,email campaign,2023-02-09,open,2024-11-11 09:19:27,2024-11-11 09:19:27
93,1879,website,2024-08-03,open,2024-11-11 09:19:27,2024-11-11 09:19:27
94,2404,email campaign,2024-05-15,open,2024-11-11 09:19:27,2024-11-11 09:19:27
95,3546,email campaign,2023-04-07,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
96,1045,email campaign,2023-03-18,open,2024-11-11 09:19:27,2024-11-11 09:19:27
97,3384,website,2023-05-31,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
98,379,email campaign,2023-04-11,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
99,4608,email campaign,2024-01-25,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
100,1475,website,2024-04-08,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
101,4525,email campaign,2023-05-11,open,2024-11-11 09:19:27,2024-11-11 09:19:27
102,762,website,2022-12-09,open,2024-11-11 09:19:27,2024-11-11 09:19:27
103,4929,email campaign,2023-11-27,open,2024-11-11 09:19:27,2024-11-11 09:19:27
104,4597,website,2024-02-06,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
105,2013,email campaign,2023-10-21,open,2024-11-11 09:19:27,2024-11-11 09:19:27
106,1766,website,2024-08-07,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
107,2549,email campaign,2023-04-07,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
108,1611,email campaign,2024-06-25,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
109,1283,email campaign,2023-09-24,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
110,856,website,2023-10-01,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
111,2420,website,2023-04-25,open,2024-11-11 09:19:27,2024-11-11 09:19:27
112,790,website,2024-02-06,open,2024-11-11 09:19:27,2024-11-11 09:19:27
113,195,email campaign,2023-09-27,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
114,1880,email campaign,2023-03-05,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
115,4514,email campaign,2024-05-27,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
116,1013,email campaign,2022-10-29,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
117,2227,email campaign,2023-10-07,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
118,1061,email campaign,2023-05-11,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
119,4593,email campaign,2024-03-12,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
120,669,website,2024-05-03,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
121,4833,email campaign,2023-02-06,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
122,3827,email campaign,2024-08-14,open,2024-11-11 09:19:27,2024-11-11 09:19:27
123,1923,email campaign,2022-10-26,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
124,1767,email campaign,2024-04-26,open,2024-11-11 09:19:27,2024-11-11 09:19:27
125,4892,website,2023-07-09,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
126,4649,email campaign,2023-09-04,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
127,3927,website,2023-06-29,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
128,3387,email campaign,2023-08-10,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
129,3976,website,2022-12-29,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
130,1495,website,2024-07-28,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
131,1381,website,2022-11-29,open,2024-11-11 09:19:27,2024-11-11 09:19:27
132,1826,website,2023-10-05,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
133,4124,website,2023-04-17,open,2024-11-11 09:19:27,2024-11-11 09:19:27
134,3049,website,2022-11-29,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
135,2270,email campaign,2024-01-25,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
136,3554,website,2023-05-01,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
137,2757,email campaign,2023-01-13,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
138,1596,website,2023-04-08,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
139,2430,website,2023-08-14,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
140,1477,email campaign,2023-09-10,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
141,3757,email campaign,2024-02-14,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
142,4338,email campaign,2024-02-05,open,2024-11-11 09:19:27,2024-11-11 09:19:27
143,1910,website,2023-12-07,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
144,1644,email campaign,2023-09-30,open,2024-11-11 09:19:27,2024-11-11 09:19:27
145,453,website,2023-06-22,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
146,4429,website,2024-01-27,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
147,790,email campaign,2023-05-30,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
148,4649,website,2023-10-18,open,2024-11-11 09:19:27,2024-11-11 09:19:27
149,4386,email campaign,2024-08-11,open,2024-11-11 09:19:27,2024-11-11 09:19:27
150,3932,email campaign,2023-11-23,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
151,484,email campaign,2023-09-10,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
152,698,website,2024-04-22,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
153,215,email campaign,2022-11-13,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
154,3258,website,2022-12-18,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
155,2941,email campaign,2024-01-03,open,2024-11-11 09:19:27,2024-11-11 09:19:27
156,155,email campaign,2024-01-17,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
157,453,email campaign,2024-09-25,open,2024-11-11 09:19:27,2024-11-11 09:19:27
158,3037,email campaign,2024-07-21,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
159,2842,website,2024-01-04,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
160,2687,email campaign,2023-02-09,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
161,2296,email campaign,2024-06-10,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
162,2753,website,2023-06-01,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
163,4687,email campaign,2024-02-11,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
164,403,website,2024-09-12,open,2024-11-11 09:19:27,2024-11-11 09:19:27
165,374,website,2023-06-17,open,2024-11-11 09:19:27,2024-11-11 09:19:27
166,2671,website,2024-04-05,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
167,1741,website,2023-10-14,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
168,3429,website,2024-07-28,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
169,4248,website,2023-05-24,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
170,4112,email campaign,2022-12-15,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
171,4541,email campaign,2023-06-21,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
172,244,website,2023-11-08,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
173,3431,website,2022-12-04,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
174,3331,website,2023-01-21,open,2024-11-11 09:19:27,2024-11-11 09:19:27
175,3365,website,2023-03-27,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
176,3834,website,2023-02-27,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
177,4232,email campaign,2024-09-14,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
178,1146,email campaign,2023-05-06,open,2024-11-11 09:19:27,2024-11-11 09:19:27
179,3433,email campaign,2023-03-30,open,2024-11-11 09:19:27,2024-11-11 09:19:27
180,4527,website,2022-11-09,open,2024-11-11 09:19:27,2024-11-11 09:19:27
181,3486,website,2022-11-10,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
182,2952,website,2024-10-13,open,2024-11-11 09:19:27,2024-11-11 09:19:27
183,4371,website,2024-01-04,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
184,1832,email campaign,2023-05-01,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
185,1731,email campaign,2023-12-02,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
186,4275,website,2024-03-07,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
187,1811,email campaign,2023-07-03,open,2024-11-11 09:19:27,2024-11-11 09:19:27
188,2634,email campaign,2022-10-30,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
189,1821,email campaign,2023-06-09,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
190,1929,website,2023-11-30,open,2024-11-11 09:19:27,2024-11-11 09:19:27
191,4978,email campaign,2023-11-07,open,2024-11-11 09:19:27,2024-11-11 09:19:27
192,123,email campaign,2023-03-27,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
193,904,email campaign,2023-12-05,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
194,1775,email campaign,2024-10-05,open,2024-11-11 09:19:27,2024-11-11 09:19:27
195,3222,email campaign,2024-08-22,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
196,57,website,2024-05-13,open,2024-11-11 09:19:27,2024-11-11 09:19:27
197,446,email campaign,2022-11-09,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
198,3320,email campaign,2023-06-14,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
199,2373,email campaign,2023-02-27,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
200,1244,email campaign,2023-10-27,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
201,3260,website,2023-10-18,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
202,2430,email campaign,2023-04-01,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
203,3015,email campaign,2024-02-26,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
204,1919,website,2023-02-05,open,2024-11-11 09:19:27,2024-11-11 09:19:27
205,381,website,2024-04-04,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
206,336,email campaign,2024-05-01,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
207,64,email campaign,2024-06-25,open,2024-11-11 09:19:27,2024-11-11 09:19:27
208,1353,website,2022-11-05,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
209,1203,website,2023-06-03,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
210,1565,website,2022-12-17,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
211,2822,website,2024-07-22,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
212,3604,website,2023-06-02,open,2024-11-11 09:19:27,2024-11-11 09:19:27
213,3588,email campaign,2024-01-31,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
214,1616,email campaign,2022-11-01,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
215,2755,website,2024-02-09,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
216,1126,website,2023-04-24,open,2024-11-11 09:19:27,2024-11-11 09:19:27
217,196,website,2023-05-27,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
218,2867,website,2024-09-16,open,2024-11-11 09:19:27,2024-11-11 09:19:27
219,3771,website,2024-08-21,open,2024-11-11 09:19:27,2024-11-11 09:19:27
220,1799,website,2023-03-23,open,2024-11-11 09:19:27,2024-11-11 09:19:27
221,3195,email campaign,2022-12-24,open,2024-11-11 09:19:27,2024-11-11 09:19:27
222,1367,email campaign,2023-01-31,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
223,4624,website,2024-07-03,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
224,3364,email campaign,2024-06-15,open,2024-11-11 09:19:27,2024-11-11 09:19:27
225,1819,email campaign,2024-10-08,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
226,3129,website,2024-09-15,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
227,378,email campaign,2023-09-10,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
228,4649,email campaign,2023-12-05,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
229,1513,email campaign,2024-03-16,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
230,127,email campaign,2023-09-30,open,2024-11-11 09:19:27,2024-11-11 09:19:27
231,3745,email campaign,2022-11-21,open,2024-11-11 09:19:27,2024-11-11 09:19:27
232,3807,email campaign,2024-01-16,open,2024-11-11 09:19:27,2024-11-11 09:19:27
233,1275,email campaign,2024-08-21,open,2024-11-11 09:19:27,2024-11-11 09:19:27
234,3723,email campaign,2024-09-29,open,2024-11-11 09:19:27,2024-11-11 09:19:27
235,3960,website,2023-05-30,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
236,3720,email campaign,2023-07-09,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
237,4271,website,2023-07-06,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
238,589,email campaign,2023-08-06,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
239,1203,website,2024-03-21,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
240,4495,email campaign,2023-09-11,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
241,654,website,2023-01-03,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
242,3798,email campaign,2022-10-24,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
243,2661,email campaign,2023-01-15,open,2024-11-11 09:19:27,2024-11-11 09:19:27
244,630,email campaign,2023-02-25,open,2024-11-11 09:19:27,2024-11-11 09:19:27
245,1016,email campaign,2024-09-16,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
246,2574,email campaign,2024-04-21,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
247,200,email campaign,2023-03-04,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
248,864,email campaign,2024-02-09,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
249,4864,email campaign,2024-09-12,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
250,2230,email campaign,2023-01-23,open,2024-11-11 09:19:27,2024-11-11 09:19:27
251,3631,email campaign,2023-06-10,open,2024-11-11 09:19:27,2024-11-11 09:19:27
252,3249,website,2024-07-10,open,2024-11-11 09:19:27,2024-11-11 09:19:27
253,2139,email campaign,2023-11-27,open,2024-11-11 09:19:27,2024-11-11 09:19:27
254,973,website,2024-02-01,open,2024-11-11 09:19:27,2024-11-11 09:19:27
255,1673,website,2024-04-17,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
256,2417,website,2024-01-06,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
257,4229,email campaign,2024-10-11,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
258,3730,email campaign,2024-05-17,open,2024-11-11 09:19:27,2024-11-11 09:19:27
259,1945,website,2022-11-11,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
260,2456,email campaign,2023-02-12,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
261,3440,website,2024-09-12,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
262,304,email campaign,2023-06-29,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
263,4142,email campaign,2023-07-18,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
264,3062,email campaign,2024-06-17,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
265,4246,email campaign,2024-04-14,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
266,4768,email campaign,2023-10-03,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
267,410,email campaign,2022-11-20,open,2024-11-11 09:19:27,2024-11-11 09:19:27
268,1519,website,2024-08-21,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
269,2447,email campaign,2024-08-19,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
270,4914,website,2024-10-14,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
271,2131,email campaign,2023-09-13,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
272,4378,email campaign,2023-04-19,open,2024-11-11 09:19:27,2024-11-11 09:19:27
273,2942,website,2024-01-11,open,2024-11-11 09:19:27,2024-11-11 09:19:27
274,1332,website,2023-06-08,open,2024-11-11 09:19:27,2024-11-11 09:19:27
275,1692,website,2023-09-07,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
276,4045,email campaign,2024-08-01,open,2024-11-11 09:19:27,2024-11-11 09:19:27
277,1379,email campaign,2023-06-07,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
278,744,email campaign,2023-12-13,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
279,4380,email campaign,2022-12-14,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
280,4748,email campaign,2023-05-28,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
281,1042,email campaign,2023-11-22,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
282,4193,email campaign,2024-09-05,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
283,2108,website,2024-03-04,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
284,719,website,2023-08-25,open,2024-11-11 09:19:27,2024-11-11 09:19:27
285,4885,website,2022-12-07,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
286,2292,website,2024-06-01,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
287,2128,email campaign,2023-05-03,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
288,828,email campaign,2024-03-27,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
289,3025,email campaign,2024-02-29,open,2024-11-11 09:19:27,2024-11-11 09:19:27
290,997,website,2023-05-23,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
291,4718,website,2023-02-05,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
292,1018,email campaign,2022-12-22,open,2024-11-11 09:19:27,2024-11-11 09:19:27
293,3876,website,2023-09-19,open,2024-11-11 09:19:27,2024-11-11 09:19:27
294,1325,website,2023-01-14,open,2024-11-11 09:19:27,2024-11-11 09:19:27
295,923,website,2022-10-22,open,2024-11-11 09:19:27,2024-11-11 09:19:27
296,2630,website,2024-07-06,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
297,4868,email campaign,2023-05-24,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
298,605,email campaign,2022-11-28,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
299,1037,website,2024-07-14,open,2024-11-11 09:19:27,2024-11-11 09:19:27
300,3512,website,2023-09-18,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
301,4263,email campaign,2023-05-29,open,2024-11-11 09:19:27,2024-11-11 09:19:27
302,4747,email campaign,2024-04-27,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
303,2952,email campaign,2023-05-19,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
304,3870,website,2024-02-22,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
305,3465,website,2024-08-20,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
306,260,website,2023-05-06,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
307,3485,email campaign,2024-10-05,open,2024-11-11 09:19:27,2024-11-11 09:19:27
308,4147,website,2023-09-21,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
309,4653,email campaign,2024-04-10,open,2024-11-11 09:19:27,2024-11-11 09:19:27
310,1168,website,2024-10-16,open,2024-11-11 09:19:27,2024-11-11 09:19:27
311,768,website,2023-08-08,open,2024-11-11 09:19:27,2024-11-11 09:19:27
312,3873,email campaign,2023-05-04,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
313,165,email campaign,2023-10-08,open,2024-11-11 09:19:27,2024-11-11 09:19:27
314,1577,website,2022-12-03,open,2024-11-11 09:19:27,2024-11-11 09:19:27
315,4451,website,2023-10-09,open,2024-11-11 09:19:27,2024-11-11 09:19:27
316,2055,email campaign,2022-12-08,open,2024-11-11 09:19:27,2024-11-11 09:19:27
